display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
3 Geezers!,NA,0,NEIL GENZLINGER,Nursing Home or Frat House?,In Michelle Schumacher’s “3 Geezers!” old people are living it up in their golden years.,2013-05-21,2013-05-22,2017-11-02 4:18,NA,Comedy,Michelle Schumacher,"Randle Schumacher, Eric Radzan, Tony Cummings",J.K. Simmons,0
30 Minutes or Less,R,0,MANOHLA DARGIS,"Menu for Trouble: Pizza, a Stripper and Slackers With Weapons",In “3o Minutes or Less” Jesse Eisenberg plays a pizza delivery man forced into a bank heist by a couple of slackers. It’s supposed to be a comedy.,2011-08-11,2011-08-12,2017-11-02 4:18,37100000,Action,Ruben Fleischer,"Michael Diliberti (screenplay), Michael Diliberti (story), Matthew Sullivan (story)",Jesse Eisenberg,0
32 Pills: My Sister's Suicide,NA,0,BEN KENIGSBERG,"Review: In ‘32 Pills,’ a Filmmaker Investigates Her Sister’s Death",Hope Litoff’s documentary becomes more voyeuristically gripping as it progresses.,2017-11-30,2017-11-29,2017-12-08 17:44,NA,NA,NA,NA,NA,0
36 Saints,R,0,ANDY WEBSTER,"Strangeness, Even for New York","Survivors of a plane crash are dying in “36 Saints,” and two detectives try to stop the apparently supernatural forces behind the killings.",2013-09-05,2013-09-06,2017-11-02 4:18,NA,Thriller,Eddy Duran,"Jeffrey De Serrano, Joey Dedio",Franky G,0
37,NA,0,ANDY WEBSTER,"Review: ‘37,’ a Fictional Retelling of the Kitty Genovese Story","This version of the story returns to the popular, but discredited belief that dozens of people deliberately ignored the cries of Ms. Genovese.",2016-10-06,2016-10-07,2017-11-02 4:18,NA,NA,NA,NA,NA,0
4 Days in France,NA,0,GLENN KENNY,"Review: ‘4 Days in France,’ With a Little Help From Grindr","In a director’s feature debut, an impulsive wanderer flees Paris for adventures in rural France.",2017-08-03,2017-08-01,2017-11-02 4:18,NA,NA,NA,NA,NA,0
4 Moons,Not Rated,0,ANITA GATES,An Orientation in Several Shades,&#8220;4 Moons&#8221; is Sergio Tovar Velarde&#8217;s look at gay boys and men in today&#8217;s Mexico.,2014-11-20,2014-11-21,2017-11-02 4:18,NA,NA,NA,NA,NA,0
42,PG-13,0,A. O. SCOTT,That Rookie at First Is in a New Position,"“42,” Brian Helgeland’s new film about Jackie Robinson, is blunt, simple and sentimental, using time-tested methods to teach a clear and rousing lesson.",2013-04-11,2013-04-12,2017-11-02 4:18,95001343,Biography,Brian Helgeland,Brian Helgeland,Chadwick Boseman,0
47 Meters Down,PG-13,0,JEANNETTE CATSOULIS,"Review: ‘47 Meters Down,’ With Great Whites Circling Above","Mandy Moore and Claire Holt play sisters looking for adventures in Mexico, but being stuck in a cage on the ocean floor wasn’t what they had in mind.",2017-06-15,2017-06-16,2017-11-02 4:18,NA,NA,NA,NA,NA,0
47 Ronin,PG-13,0,NICOLAS RAPOLD,"An Old Flame Shows Up, but Who Invited the Witch and Monsters?",Keanu Reeves’s presence is not the only Hollywood intrusion into a Japanese legend that is the basis for “47 Ronin.”,2013-12-24,2013-12-25,2017-11-02 4:18,20518224,Action,Carl Rinsch,"Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by)",Keanu Reeves,0
