display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
God's Own Country,,1,JEANNETTE CATSOULIS,"Review: Love Is Wild, if Not Pretty, in ‘God’s Own Country’","This feature debut of the writer and director Francis Lee is a bracing, sometimes brutal movie.",2017-10-24,2017-10-25,2017-11-24 17:44,NA,Drama,Francis Lee,Francis Lee,Josh O'Connor,Nominated for 1 BAFTA Film Award. Another 23 wins & 28 nominations.
Good Kill,R,1,STEPHEN HOLDEN,Review: &#8216;Good Kill&#8217; Stars Ethan Hawke Fighting Enemies Half a World Away,"This Andrew Niccol film is a blunt critique of remote-control warfare, which is transforming the reality of battle into a video game whose casualties are pixels on a screen.",2015-05-14,2015-05-15,2017-11-02 4:18,NA,Drama,Andrew Niccol,Andrew Niccol,Fatima El Bahraouy,1 nomination.
Goodnight Mommy,R,1,JEANNETTE CATSOULIS,Review: Twin Terrors Haunt &#8216;Goodnight Mommy&#8217;,"When Mommy comes back from the hospital a changed person with bandages obscuring her face, her twins take action.",2015-09-10,2015-09-11,2017-11-02 4:18,580389,Horror,"Severin Fiala, Veronika Franz","Veronika Franz (screenplay), Severin Fiala (screenplay)",Lukas Schwarz,19 wins & 37 nominations.
Grandma,R,1,A. O. SCOTT,"Review: In ‘Grandma,’ Lily Tomlin Energizes an Intergenerational Road Trip","Paul Weitz&#8217;s new film, centering on a feminist poet in her 70s and her granddaughter, is a comedy of conflict and solidarity.",2015-08-19,2015-09-18,2017-11-02 4:18,NA,Comedy,Paul Weitz,Paul Weitz,Lily Tomlin,Nominated for 1 Golden Globe. Another 5 wins & 11 nominations.
"Grandma, A Thousand Times",,1,JEANNETTE CATSOULIS,Loving Portrayal of a Beiruti Matriarch,"In “Grandma, a Thousand Times” the director Mahmoud Kaabour turns his camera on his spirited grandmother and her rich memories.",2011-12-02,2011-12-09,2017-11-02 4:18,NA,Documentary,Mahmoud Kaabour,N/A,Fatima el Ghoul,2 wins & 1 nomination.
Gravity,PG-13,1,A. O. SCOTT,Between Earth and Heaven,"In Alfonso Cuarón’s “Gravity,” two astronauts marooned in space struggle for survival in rapidly changing circumstances.",2013-10-03,2013-10-04,2017-11-02 4:18,274084951,Drama,Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón",Sandra Bullock,Won 7 Oscars. Another 232 wins & 175 nominations.
Green Zone,R,1,A. O. SCOTT,"A Search for That Casualty, Truth","In “Green Zone,” action under pressure is a test and a revelation of character.",2010-03-11,2010-03-12,2017-11-02 4:18,3.50E+07,Action,Paul Greengrass,"Brian Helgeland, Rajiv Chandrasekaran (book)",Igal Naor,6 nominations.
Greenberg,R,1,A. O. SCOTT,Why Even Bother Trying to Connect?,"“Greenberg” is the funniest and saddest movie Noah Baumbach has made so far, and also the riskiest.",2010-03-18,2010-03-26,2017-11-02 4:18,2293918,Comedy,Noah Baumbach,"Jennifer Jason Leigh (story), Noah Baumbach (story), Noah Baumbach (screenplay)",Greta Gerwig,2 wins & 14 nominations.
Guidance,,1,JEANNETTE CATSOULIS,"Review: In &#8216;Guidance,&#8217; a High School Counselor as a Rotten Role Model","Pat Mills wrote, directed and stars in this black comedy about a former child star who fraudulently gets a job of giving advice to teenagers.",2015-08-20,2015-08-21,2017-11-02 4:18,NA,Comedy,Pat Mills,Pat Mills,David Alexander,3 wins & 2 nominations.
Guy and Madeline on a Park Bench,,1,JEANNETTE CATSOULIS,The Blissed-Out Rhythms of the Young and in Love,"A Boston-based musical commentary on love and art, “Guy and Madeline on a Park Bench” floats on a wave of spontaneity and charm.",2010-11-04,2010-07-01,2017-11-02 4:18,33793,Drama,Damien Chazelle,Damien Chazelle,Jason Palmer,2 wins & 5 nominations.
