display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
Mister Universo,,1,GLENN KENNY,"Review: Out of Luck, and Seeking a Strongman in ‘Mister Universo’",The Italian directors Tizza Covi and Rainer Frimmel’s hybrid of a film follows a young man on a sort of odyssey across Italy.,2017-07-20,2017-07-21,2017-11-02 4:18,NA,Drama,"Tizza Covi, Rainer Frimmel",Tizza Covi,Tairo Caroli,2 wins & 1 nomination.
Mistress America,R,1,STEPHEN HOLDEN,"Review: ‘Mistress America,’ a Noah Baumbach Comedy on Getting By in a Backbiting World","This smart, fast-paced film, advertised as a screwball comedy, subverts this most buoyant of genres with a steady undertow of anxiety, dread and anger.",2015-08-13,2015-08-14,2017-11-02 4:18,NA,Comedy,Noah Baumbach,"Noah Baumbach, Greta Gerwig",Lola Kirke,2 wins & 13 nominations.
Moneyball,PG-13,1,MANOHLA DARGIS,Throwing a Digital-Age Curveball,"Brad Pitt plays Billy Beane, the baseball executive who challenged traditions of the game, in “Moneyball.”",2011-09-22,2011-09-23,2017-11-02 4:18,75605492,Biography,Bennett Miller,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)",Brad Pitt,Nominated for 6 Oscars. Another 29 wins & 75 nominations.
Monster Trucks,PG,1,ANDY WEBSTER,"Review: Horses Under the Hood? In ‘Monster Trucks,’ Try a Cephalopod",A small-town teenager and a creature released by a geyser are unlikely friends in this live-action eco-fable from the “Ice Age” director Chris Wedge.,2017-01-12,2017-01-13,2017-11-02 4:18,33243820,Action,Chris Wedge,"Derek Connolly (screenplay by), Matthew Robinson (story by), Jonathan Aibel (story by), Glenn Berger (story by)",Lucas Till,2 nominations.
Moonlight,R,1,A. O. SCOTT,‘Moonlight’: Is This the Year’s Best Movie?,Our critic A.O. Scott says this film about a young black man’s coming of age is both a disarmingly personal film and an urgent social document.,2016-10-20,2016-10-21,2017-11-02 4:18,27850910,Drama,Barry Jenkins,"Barry Jenkins (screenplay by), Tarell Alvin McCraney (story by)",Mahershala Ali,Won 3 Oscars. Another 220 wins & 270 nominations.
Moonrise Kingdom,PG-13,1,MANOHLA DARGIS,"Scouting Out a Paradise: Books, Music and No Adults","Wes Anderson’s new film, “Moonrise Kingdom,” is a self-consciously once-upon-a-time tale of two romantic 12-year-olds who create their own paradise by running away.",2012-05-24,2012-06-29,2017-11-02 4:18,45507865,Adventure,Wes Anderson,"Wes Anderson, Roman Coppola",Bruce Willis,Nominated for 1 Oscar. Another 38 wins & 118 nominations.
Morris From America,R,1,A. O. SCOTT,Review: ‘Morris From America’: A 13-Year-Old Stranger in a Strange Land,"An American teenager seeks his place in the world in Heidelberg, Germany.",2016-08-18,2016-08-19,2017-11-02 4:18,88932,Comedy,Chad Hartigan,Chad Hartigan,Markees Christmas,3 wins & 9 nominations.
Most Beautiful Island,,1,ANDY WEBSTER,"Review: ‘Most Beautiful Island,’ an Immigrant’s New York Nightmare","This suspense film, about a woman entering a rabbit hole of urban peril, is an effective writing-directing debut for Ana Asensio, who also stars.",2017-11-02,2017-11-03,2017-11-10 17:44,NA,Drama,Ana Asensio,Ana Asensio,Ana Asensio,2 wins & 5 nominations.
Mr. Right,R,1,ANDY WEBSTER,"Review: ‘Mr. Right,’ With Anna Kendrick, Dips Into a Tricky Genre","This hybrid action thriller and romantic comedy follows Martha, who meets a blithe charmer and discovers that he’s a hit man.",2016-04-07,2016-04-08,2017-11-02 4:18,25369,Action,Paco Cabezas,Max Landis,Sam Rockwell,2 nominations.
Mud,PG-13,1,A. O. SCOTT,"Hiding From Trouble, Found by Innocents","In Jeff Nichols’s third feature, two Arkansas boys discover a boat on an overgrown island in the Mississippi River, and also discover the leathery loner who inhabits it.",2013-04-25,2013-05-10,2017-11-02 4:18,21589307,Drama,Jeff Nichols,Jeff Nichols,Matthew McConaughey,11 wins & 35 nominations.
Mudbound,R,1,A.O. SCOTT,"Review: ‘Mudbound’ Is a Racial Epic Tuned to Black Lives, and White Guilt",Dee Rees’s new film illuminates the daily cruelties in post-World War II Mississippi.,2017-11-16,2017-11-17,2017-12-16 17:44,NA,Drama,Dee Rees,"Virgil Williams (screenplay by), Dee Rees (screenplay by), Hillary Jordan (based on the novel by)",Jonathan Banks,Nominated for 4 Oscars. Another 26 wins & 91 nominations.
Mundo Alas,,1,NEIL GENZLINGER,An Unusual Concert Tour,"León Gieco, the well-known Argentine folk singer, is determined to put the spotlight on others in the documentary “Mundo Alas” (“World Wings”).",2010-08-05,2010-08-06,2017-11-02 4:18,NA,Documentary,"León Gieco, Fernando Molnar, Sebastián Schindel","Fernando Molnar, Fernanda Ribeiz, Sebastián Schindel",León Gieco,3 wins & 1 nomination.
Musicwood,,1,JEANNETTE CATSOULIS,The Politics of Acoustic Guitars,"“Musicwood,” a documentary by Maxine Trump, examines the thicket of issues that pit Native Americans in Alaska against the makers of acoustic guitars.",2013-10-31,2013-11-01,2017-11-02 4:18,NA,Documentary,Maxine Trump,N/A,The Antlers,N/A
My Golden Days,R,1,MANOHLA DARGIS,"Review: In ‘My Golden Days,’ Aching for a Love Left Behind",Arnaud Desplechin’s film tells of a middle-aged anthropologist and the women who left their imprint on different stages of his life.,2016-03-17,2016-03-18,2017-11-02 4:18,NA,Drama,Arnaud Desplechin,"Arnaud Desplechin (scenario), Julie Peyr (scenario), Nicolas Saada (scenario consultant)",Quentin Dolmaire,6 wins & 23 nominations.
My Joy,,1,MANOHLA DARGIS,A Tale of Russia Haunted by Ghosts and the Living Dead,"“My Joy,” directed by Sergei Loznitsa, creates an air of dread that instantly settles around a young truck driver.",2011-09-29,2011-09-30,2017-11-02 4:18,3756,Adventure,Sergei Loznitsa,Sergei Loznitsa (screenplay),Viktor Nemets,6 wins & 6 nominations.
My King,,1,JEANNETTE CATSOULIS,"Review: In ‘My King,’ Blindly Falling Fast and Furious","Told in flashback, this film follows the collision and decade-long duel between a guarded lawyer and an impulsively charismatic restaurateur.",2016-08-11,2016-08-12,2017-11-02 4:18,53920,Drama,Maïwenn,"Etienne Comar (screenplay), Maïwenn (screenplay)",Vincent Cassel,1 win & 13 nominations.
My Piece of the Pie,Not Rated,1,STEPHEN HOLDEN,"Prince of the Universe, and His Maid","In “My Piece of the Pie,” Cédric Klapisch portrays the relationship between a business wheeler-dealer and his housekeeper.",2011-12-08,2011-12-09,2017-11-02 4:18,4213,Comedy,Cédric Klapisch,Cédric Klapisch (scenario),Karin Viard,N/A
"My Voice, My Life",,1,HELEN T. VERONGOS,"Review: ‘My Voice, My Life,’ a Story of Hong Kong Student Actors","This documentary from Ruby Yang, about students who are not the expected high achievers, captures the feeling of spreading one&#8217;s wings onstage for the first time.",2015-08-27,2015-08-28,2017-11-02 4:18,NA,Documentary,Ruby Yang,N/A,Tabitha Chan,3 wins & 1 nomination.
Nana,,1,JEANNETTE CATSOULIS,"Tiny Actress, a Spare Script and Huge Revelations","“Nana,” a French film by Valérie Massadian, sees the world through the eyes of a 4-year-old girl on a farm.",2013-01-24,2013-01-25,2017-11-02 4:18,NA,Drama,Kentarô Ohtani,"Ai Yazawa (comic), Taeko Asano (screenplay), Kentarô Ohtani (screenplay)",Mika Nakashima,2 nominations.
Nebraska,R,1,A. O. SCOTT,You May Already Be a Winner. Or Not.,"“Nebraska,” Alexander Payne’s fourth film set at least partly in his home state, stars Bruce Dern, Will Forte and June Squibb in a comedy that gets under a cantankerous older man’s skin.",2013-11-14,2014-01-24,2017-11-02 4:18,11348612,Adventure,Alexander Payne,Bob Nelson,Bruce Dern,Nominated for 6 Oscars. Another 28 wins & 157 nominations.
Neil Young Journeys,PG,1,STEPHEN HOLDEN,Old Man of Rock Takes a Road Trip,"In Jonathan Demme’s new documentary, “Neil Young Journeys,” the roar is more earthshaking than earsplitting.",2012-06-28,2012-06-29,2017-11-02 4:18,214588,Documentary,Jonathan Demme,N/A,Neil Young,N/A
Neil Young Trunk Show: Scenes From a Concert,,1,MIKE HALE,A Return to Neil Young’s Stage,"Beautifully lighted and meticulously recorded, “Neil Young Trunk Show” looks and sounds like several million bucks.",2010-03-18,2010-03-19,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Nenette,Not Rated,1,JEANNETTE CATSOULIS,"A Meditation on Captivity, Featuring an Orangutan",The voices of visitors to a Paris zoo serve as a soundtrack to Nicolas Philibert’s new film.,2010-12-21,2010-12-24,2017-11-02 4:18,NA,Drama,Claire Denis,"Claire Denis, Jean-Pol Fargeau",Grégoire Colin,6 wins & 3 nominations.
Niki and Flo,,1,By A.&#160;O. SCOTT,Examining Romanian Fault Lines,"In “Niki and Flo,” two aging neighbors linked by the marriage of their children represent a bridge — and also a battle — between the old Romania and the new.",2012-02-29,2012-03-02,2017-11-02 4:18,NA,Drama,Lucian Pintilie,"Cristi Puiu, Razvan Radulescu",Victor Rebengiuc,N/A
Nise: The Heart of Madness,,1,NEIL GENZLINGER,"Review: ‘Nise,’ the Therapist Who Resisted Lobotomies",A drama from Brazil about a psychiatrist who defied medical orthodoxy and treated patients with paint brushes instead of spikes and electroshock therapy.,2017-04-27,2017-04-28,2017-11-02 4:18,NA,Biography,Roberto Berliner,"Flávia Castro (screenplay), Mauricio Lissovski (screenplay), Maria Camargo (screenplay), Chris Alcazar (screenplay), Patrícia Andrade (final screenplay), Leonardo Rocha (final screenplay), Roberto Berliner (final screenplay)",Julio Adrião,4 wins & 6 nominations.
No No: A Dockumentary,,1,DANIEL M. GOLD,A Lightning Rod in a Game With Bats,"“No No: A Dockumentary” looks at the career of Dock Ellis, a pitcher with the Pittsburgh Pirates.",2014-09-04,2014-09-05,2017-11-02 4:18,NA,Documentary,Jeff Radice,N/A,Larry Demery,1 win & 3 nominations.
Nobody's Watching,,1,GLENN KENNY,"Review: ‘Nobody’s Watching,’ an Actor’s Immigration and Alienation","An Argentine actor, played by Guillermo Pfening, pins his hopes on a movie career in America.",2017-09-07,2017-09-08,2017-11-02 4:18,NA,Comedy,Gail Mancuso,"Bill Lawrence, Neil Goldman, Garrett Donovan",Taran Killam,N/A
Norman,R,1,A.O. SCOTT,"Review: Richard Gere as ‘Norman,’ an Aspirational Fixer","‘Norman: The Moderate Rise and Tragic Fall of a New York Fixer,’ Joseph Cedar’s latest film, pits Jew against Jew on the fringes of power and influence.",2017-04-13,2017-04-14,2017-11-02 4:18,3814868,Drama,Joseph Cedar,Joseph Cedar,Richard Gere,1 win & 1 nomination.
Northern Light,,1,JEANNETTE CATSOULIS,Racing by Snowmobile for Economic Survival in Michigan,"The documentary “Northern Light” is a sneakily compelling, endlessly patient observation of three working-class families in the Upper Peninsula of Michigan.",2014-06-15,2013-03-01,2017-11-02 4:18,NA,Drama,David Lammers,David Lammers,Raymond Thiry,1 win & 3 nominations.
Nostalgia For The Light,,1,STEPHEN HOLDEN,Chile’s Past Is Present in the Desert,“Nostalgia for the Light” is the director Patricio Guzmán’s cinematic essay on the search for both our cosmic origins and disappeared political prisoners.,2011-03-17,2011-03-17,2017-11-02 4:18,96142,Documentary,Patricio Guzmán,Patricio Guzmán,Gaspar Galaz,9 wins & 18 nominations.
Nothing Personal,,1,JEANNETTE CATSOULIS,Tensions Between Companionship and Solitude,Lotte Verbeek and Stephen Rea star in Urszula Antoniak’s maddeningly enigmatic and sensuous “Nothing Personal.”,2010-11-18,2010-11-19,2017-11-02 4:18,NA,Drama,Urszula Antoniak,Urszula Antoniak,Lotte Verbeek,14 wins & 15 nominations.
Nowhere to Hide,,1,JEANNETTE CATSOULIS,Review: ‘Nowhere to Hide’ for an Iraqi Nurse Still Clinging to Hope,A documentary observes the rising tide of danger and displacement for families living in central Iraq amid the arrival of the Islamic State.,2017-06-22,2017-06-23,2017-11-02 4:18,NA,Action,Myung-se Lee,Myung-se Lee,Joong-Hoon Park,8 wins.
O.J.: Made in America,,1,A. O. SCOTT,"Review: ‘O.J.: Made in America,’ an Unflinching Take on His Rise and Fall","This ESPN documentary extends the narrative beyond the O.J. Simpson murder trial, as a biography and a history of race, fame, sports and Los Angeles.",2016-05-19,2016-05-20,2017-11-02 4:18,NA,Documentary,Ezra Edelman,N/A,Kareem Abdul-Jabbar,Won 1 Oscar. Another 46 wins & 33 nominations.
Of Gods and Men,PG-13,1,A. O. SCOTT,Between Heaven and Earth,“Of Gods and Men” is based on the true story of a group of French Cistercian Trappist monks caught up (and ultimately killed) in the violence that engulfed Algeria in the 1990s.,2011-02-24,2011-03-25,2017-11-02 4:18,3200000,Drama,Xavier Beauvois,"Xavier Beauvois (adaptation), Etienne Comar (scenario)",Lambert Wilson,Nominated for 1 BAFTA Film Award. Another 18 wins & 27 nominations.
Of Men and War,,1,JEANNETTE CATSOULIS,Review: ‘Of Men and War’ Chronicles the Trauma of Combat Veterans,"This documentary, filmed almost entirely in a California therapy center, follows a dozen war veterans racked with emotional suffering.",2015-11-05,2015-11-06,2017-11-02 4:18,NA,Documentary,Laurent Bécue-Renard,"Laurent Bécue-Renard, Laurent Bécue-Renard",N/A,3 wins & 3 nominations.
Oki's Movie,,1,NICOLAS RAPOLD,A Sketch Artist Animates a Fraternity of Bumblers,"“Oki’s Movie,” in four parts, explores film school and romance from the points of view of three characters.",2012-04-15,2012-04-18,2017-11-02 4:18,NA,Comedy,Sang-soo Hong,Sang-soo Hong,Sun-kyun Lee,4 wins & 2 nominations.
Okja,,1,A.O. SCOTT,"Review: In ‘Okja,’ a Girl and Her Pig Take on the Food Industrial Complex",Bong Joon-ho’s latest film on Netflix is a high-speed satire with a conscience and a heart. And Tilda Swinton in braces.,2017-06-27,2017-06-28,2017-11-02 4:18,NA,Action,Joon-ho Bong,"Joon-ho Bong (screenplay by), Jon Ronson (screenplay by), Joon-ho Bong (story by)",Tilda Swinton,6 wins & 10 nominations.
Older Than Ireland,,1,ANDY WEBSTER,"Review: In ‘Older Than Ireland,’ Centenarians Recall Early and Latter Days","Thirty wry old-timers are impressive raconteurs in this documentary directed by Alex Fegan, released during the centenary of the Easter Rising.",2016-04-28,2016-04-29,2017-11-02 4:18,NA,Documentary,Alex Fegan,Alex Fegan,Winnifred Anderson,N/A
"One Cut, One Life",,1,STEPHEN HOLDEN,"Review: With &#8216;One Cut, One Life,&#8217; Ed Pincus and Lucia Small Document His Illness","In his final years, the documentary pioneer Ed Pincus joined with the filmmaker Lucia Small, to record his medical struggles and their own collaboration.",2015-05-13,2015-05-15,2017-11-02 4:18,8683,Documentary,"Ed Pincus, Lucia Small","Ed Pincus, Lucia Small, Lucia Small",Angus,N/A
One Hundred Mornings,,1,JEANNETTE CATSOULIS,Conor Horgan’s ‘One Hundred Mornings’,Conor Horgan’s “One Hundred Mornings” uses an apocalyptic event as a springboard into the human psyche.,2011-03-24,2011-03-25,2017-11-02 4:18,NA,Drama,Conor Horgan,Conor Horgan,Ciarán McMenamin,2 wins.
Only the Brave,PG-13,1,ANDY WEBSTER,Review: ‘Only the Brave’ Is an Inspiring Tale of Firefighter Sacrifice,"This action drama from Joseph Kosinski — about the Granite Mountain Hotshots of Prescott, Ariz. — offers some real feeling under a schematic surface.",2017-10-19,2017-10-20,2017-11-17 17:44,18255680,Biography,Joseph Kosinski,"Sean Flynn (based on the GQ article ""No Exit"" by), Ken Nolan, Eric Warren Singer",Josh Brolin,3 nominations.
Operation Avalanche,R,1,JEANNETTE CATSOULIS,"Review: ‘Operation Avalanche,’ a Tale of Film Nerds on a Kubrick Caper",Matt Johnson and Owen Williams star in this period comedy-thriller about film nerds on a spy mission sneaking onto a set of “2001: A Space Odyssey.”,2016-09-15,2016-09-16,2017-11-02 4:18,NA,Drama,Matt Johnson,"Josh Boles, Matt Johnson",Matt Johnson,2 wins & 13 nominations.
Optimisti,,1,STEPHEN HOLDEN,"Best of All Possible Worlds: When Life Gives You Mud, Take a Mud Bath","“The Optimists” consists of five vignettes, each of whose cynical stories of humble people embracing absurd illusions illustrate the universal impulse to believe in a better future, no matter what.",2011-07-27,2011-07-28,2017-11-02 4:18,NA,Animation,Ilia Doiashvili,"Mikheil Kobakhidze, Sulkhan-Saba Orbeliani (short story)",N/A,N/A
"Orgasm, Inc.",,1,JEANNETTE CATSOULIS,The Link Between Female Sexuality and Corporate Profits,“Orgasm Inc.” walks a careful line between lighthearted exposé and gimlet-eyed journalism.,2011-02-10,2011-02-11,2017-11-02 4:18,47622,Documentary,Elizabeth Canner,N/A,Elizabeth Canner,1 win & 1 nomination.
Orion: The Man Who Would Be King,,1,NEIL GENZLINGER,Review: ‘Orion’ Tells an Elvis Tale,"Jeanie Finlay’s documentary tracks the Presley sound-alike singer Jimmy Ellis, whose career took off after Presley’s death.",2015-12-03,2015-12-04,2017-11-02 4:18,NA,Documentary,Jeanie Finlay,Jeanie Finlay,Jerry Adams,2 wins & 1 nomination.
Ouija: Origin of Evil,PG-13,1,NEIL GENZLINGER,"Review: In ‘Ouija: Origin of Evil,’ a Youngster Who Nails ‘Creepy’","In this prequel to “Ouija,” Lulu Wilson delivers chills as a girl with a psychic link to a malevolent board game.",2016-10-20,2016-10-21,2017-11-02 4:18,34904885,Horror,Mike Flanagan,"Mike Flanagan, Jeff Howard, Juliet Snowden (based on characters created by), Stiles White (based on characters created by)",Annalise Basso,2 wins & 6 nominations.
Our Last Tango,,1,ANDY WEBSTER,Review: ‘Our Last Tango’ Celebrates Two Virtuosos of the Form,"German Kral’s documentary is a portrait of the dancers María Nieves and Juan Carlos Copes, leading tango performers for almost 50 years.",2016-04-14,2016-04-15,2017-11-02 4:18,99928,Documentary,German Kral,"German Kral, Daniel Speck",María Nieves Rego,1 win & 5 nominations.
Papirosen,,1,JEANNETTE CATSOULIS,The Holocaust Lives on in a Fractured Family,"“Papirosen,” a documentary by the filmmaker Gastón Solnicki, follows generations of his Polish-Argentine family.",2014-01-23,2014-01-24,2017-11-02 4:18,NA,Documentary,Gastón Solnicki,N/A,Mirta Najdorf,2 wins & 2 nominations.
Paradise: Hope,Not Rated,1,STEPHEN HOLDEN,"Amid Tortures Of the Flesh, A Na&iuml;ve Crush ","“Paradise: Hope,” the third installment in Ulrich Seidl’s grim film trilogy, centers on an adolescent girl who is sent to a summer weight-loss camp.",2013-12-16,2013-12-18,2017-11-02 4:18,4184,Drama,Ulrich Seidl,"Ulrich Seidl (screenplay), Veronika Franz (screenplay)",Melanie Lenz,2 nominations.
ParaNorman,PG,1,MANOHLA DARGIS,Seeing Ghosts Wherever He Looks,"Norman, the focus of this beautiful-looking 3-D stop-motion animation, is an 11-year-old who cannot only see dead people, but is happy to hang out with them.",2012-08-16,2012-08-17,2017-11-02 4:18,55994557,Animation,"Chris Butler, Sam Fell",Chris Butler,Kodi Smit-McPhee,Nominated for 1 Oscar. Another 19 wins & 45 nominations.
Paterson,R,1,MANOHLA DARGIS,"Review: In Jim Jarmusch’s ‘Paterson,’ a Meditative Flow of Words Into Poetry","This story of a soulful bus driver and basement poet is deceptively simple and nearly perfect, with a likely nod to William Carlos Williams.",2016-12-27,2016-12-28,2017-11-02 4:18,2141423,Comedy,Jim Jarmusch,"Jim Jarmusch, William Carlos Williams (poem), Ron Padgett (poems)",Adam Driver,9 wins & 33 nominations.
Paul Taylor: Creative Domain,,1,RACHEL SALTZ,Review: &#8216;Paul Taylor: Creative Domain&#8217; Shows a Choreographer at Work,"Kate Geis&#8217;s absorbing new documentary follows a Taylor dance, &#8220;Three Dubious Memories,&#8221; as it takes shape in a matter of weeks.",2015-09-10,2015-09-11,2017-11-02 4:18,8150,Documentary,Kate Geis,N/A,N/A,N/A
Pawn Sacrifice,PG-13,1,NEIL GENZLINGER,"Review: ‘Pawn Sacrifice,’ Another Take on the Royal Game",Edward Zwick directs this film interpretation of the superpowers’ chess battle waged by Bobby Fischer and Boris Spassky in 1972.,2015-09-15,2015-09-25,2017-11-02 4:18,1696603,Biography,Edward Zwick,"Steven Knight (screenplay), Stephen J. Rivele (story), Christopher Wilkinson (story), Steven Knight (story)",Tobey Maguire,1 win & 1 nomination.
Pelican Dreams,G,1,NEIL GENZLINGER,"It&#8217;s a Plane! No, It&#8217;s a Bird ","&#8220;Pelican Dreams&#8221; is a study of California&#8217;s brown pelicans by Judy Irving, the director of &#8220;The Wild Parrots of Telegraph Hill.&#8221;",2014-11-06,2014-11-07,2017-11-02 4:18,NA,Documentary,Judy Irving,Judy Irving,Mark Bittner,N/A
Personal Shopper,R,1,A.O. SCOTT,Review: Kristen Stewart Is Entrancing as a Haunted ‘Personal Shopper’,Olivier Assayas’s new film is both a supernatural thriller and an unnerving inquiry into the drift and mystery of modern life.,2017-03-09,2017-03-10,2017-11-02 4:18,1305195,Drama,Olivier Assayas,Olivier Assayas,Kristen Stewart,9 wins & 19 nominations.
Phantom Halo,R,1,HELEN T. VERONGOS,"Review: &#8216;Phantom Halo,&#8217; a Crime Caper With Thomas Brodie-Sangster","Rebecca Romijn and Luke Kleintank are also in the cast of this drama, which focuses on the sons of a dissolute father.",2015-06-18,2015-06-19,2017-11-02 4:18,NA,Crime,Antonia Bogdanovich,"Antonia Bogdanovich, Antonia Bogdanovich, Anne Heffron, Anne Heffron",Thomas Brodie-Sangster,1 nomination.
Phantom Thread,R,1,A.O. SCOTT,Review: Daniel Day-Lewis Sews Up Another Great Performance in ‘Phantom Thread’,Paul Thomas Anderson’s latest film is a luxuriant love story set in 1950s London.,2017-12-24,2017-12-25,2018-01-24 17:44,947190,Drama,Paul Thomas Anderson,Paul Thomas Anderson,Vicky Krieps,Won 1 Oscar. Another 46 wins & 93 nominations.
Philomena,PG-13,1,STEPHEN HOLDEN,Nasty Nuns Can’t Shake a Faith,Stephen Frears’s “Philomena” follows a Irishwoman forced to give up her son for adoption in the 1950s and the freelance reporter who helps her search for him.,2013-11-21,2013-11-27,2017-11-02 4:18,NA,Biography,Stephen Frears,"Steve Coogan (screenplay), Jeff Pope (screenplay), Martin Sixsmith (book)",Judi Dench,Nominated for 4 Oscars. Another 32 wins & 76 nominations.
Plot for Peace,,1,DANIEL M. GOLD,A Wheeler-Dealer Turned Broker for Racial Justice,The documentary &#8220;Plot for Peace&#8221; centers on a French commodities trader who helped broker a peaceful end to apartheid in South Africa.,2014-10-30,2014-10-31,2017-11-02 4:18,2554,Documentary,"Carlos Agulló, Mandy Jacobson",Stephen Smith,Jean-Yves Ollivier,5 wins & 5 nominations.
Poetry,Not Rated,1,MANOHLA DARGIS,"Consider an Apple, Consider the World","The South Korean director Lee Chang-dong’s devastating, humanistic film “Poetry” is about the importance of looking closely at the world.",2011-02-10,2011-02-11,2017-11-02 4:18,355044,Drama,Chang-dong Lee,Chang-dong Lee,Jeong-hie Yun,24 wins & 20 nominations.
Ponies,,1,NEIL GENZLINGER,The Seedy Betting Parlor Where Dreams Go to Die,“Ponies” involves the interactions of three immigrants from different continents who converge at a ratty New York City betting parlor.,2012-07-12,2012-07-13,2017-11-02 4:18,NA,Drama,Nick Sandow,"Mike Batistick (based on his play), Mike Batistick (screenplay)",John Ventimiglia,N/A
Praia do Futuro,Not Rated,1,JEANNETTE CATSOULIS,"Review: In ‘Futuro Beach,’ a Haunted Lifeguard Searches for Peace",This elliptical gay romance by the Brazilian writer and director Karim A&#239;nouz follows its heroes from the warmly golden beach of the title to the cool dampness of Berlin.,2015-02-26,2015-02-27,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Premium Rush,PG-13,1,MANOHLA DARGIS,No Breaks for a Rider in a Hurry,“Premium Rush” stars Joseph Gordon-Levitt as a bicycle messenger racing around New York City.,2012-08-23,2012-08-24,2017-11-02 4:18,20275446,Action,David Koepp,"David Koepp, John Kamps",Joseph Gordon-Levitt,1 win & 4 nominations.
Prevenge,,1,JEANNETTE CATSOULIS,"Review: ‘Prevenge,’ Orchestrated by a Fiendish Fetus","Alice Lowe wrote, directed and stars in this British film about a pregnant serial killer on a darkly comedic odyssey dictated by her malicious fetus.",2017-03-22,2017-03-24,2017-11-02 4:18,NA,Comedy,Alice Lowe,Alice Lowe,Alice Lowe,2 wins & 10 nominations.
Prince of Broadway,,1,JEANNETTE CATSOULIS,A Street Hustler Becomes a Reluctant Father,"Like its subject, the movie is sharp, charismatic and so light on its feet we never know which way it will turn.",2010-09-02,2010-09-03,2017-11-02 4:18,20450,Drama,Sean Baker,"Sean Baker, Darren Dean",Prince Adu,12 wins & 6 nominations.
Professor Marston and the Wonder Women,R,1,MANOHLA DARGIS,"Review: ‘Professor Marston,’ With Kinks! Pleasures! Female Power!","In “Professor Marston and the Wonder Women,” the writer-director Angela Robinson tells a knotty story with wit, sympathy and economy.",2017-10-12,2017-10-13,2017-11-03 16:44,1583641,Biography,Angela Robinson,Angela Robinson,Luke Evans,6 nominations.
Project X,R,1,NEIL GENZLINGER,A Teenage ‘Home Alone’ Gone Wild,"Thomas Mann plays a high-school nobody who goes down in history after an extreme party in “Project X,” directed by Nima Nourizadeh.",2012-03-01,2012-03-02,2017-11-02 4:18,53400000,Comedy,Nima Nourizadeh,"Matt Drake (screenplay), Michael Bacall (screenplay), Michael Bacall (story)",Thomas Mann,5 nominations.
Putty Hill,Not Rated,1,STEPHEN HOLDEN,"Drugs, Death and Downward Mobility in Baltimore","Matt Porterfield’s “Putty Hill” is a moody fusion of fiction and documentary, set in a working-class neighborhood in Baltimore.",2011-02-17,2011-02-18,2017-11-02 4:18,48644,Drama,Matthew Porterfield,"Jordan Mintzer (story), Matthew Porterfield (story), Matthew Porterfield",Sky Ferreira,1 win & 3 nominations.
Queen of Katwe,PG,1,A. O. SCOTT,"Review: In ‘Queen of Katwe,’ a Pawn Finds Her Crown Through Chess","In this stirring underdog story directed by Mira Nair, Madina Nalwanga plays a young Ugandan with a gift for chess, supported by Lupita Nyong’o as her mother.",2016-09-22,2016-09-30,2017-11-02 4:18,8874389,Biography,Mira Nair,"William Wheeler (screenplay by), Tim Crothers (based on the ESPN Magazine article and book by)",Madina Nalwanga,2 wins & 18 nominations.
Queen of the Sun: What Are the Bees Telling Us?,,1,JEANNETTE CATSOULIS,‘Queen of the Sun: What Are the Bees Telling Us?’,"“Queen of the Sun,” Taggart Siegel’s revelatory documentary on honeybees, beekeepers and colony collapse disorder.",2011-06-09,2010-04-01,2017-11-02 4:18,183692,Documentary,Taggart Siegel,N/A,Gunther Hauk,2 wins & 1 nomination.
Queen to Play,Not Rated,1,STEPHEN HOLDEN,Chess as a Slow Dance of Seduction,"In Caroline Bottaro’s slight but captivating “Queen to Play,” Sandrine Bonnaire plays a chambermaid empowered by her mastery of chess.",2011-03-31,2011-04-01,2017-11-02 4:18,478572,Drama,Caroline Bottaro,"Caroline Bottaro, Bertina Henrichs (novel)",Sandrine Bonnaire,2 wins & 2 nominations.
Quest,,1,A.O. SCOTT,Review: ‘Quest’ Is a Moving Portrait of an American Family,This documentary from Jonathan Olshefski follows a North Philadelphia family through the Obama years.,2017-12-07,2017-12-08,2017-12-22 17:44,NA,Animation,Tyron Montgomery,Thomas Stellmach (story),N/A,Won 1 Oscar. Another 19 wins & 1 nomination.
R,,1,STEPHEN HOLDEN,Life in the Big House: The Danish Experience,"The Danish drama “R,” set in a maximum-security prison, isn’t the goriest example of its genre, but it is challenging nevertheless.",2011-06-16,2011-06-17,2017-11-02 4:18,NA,Crime,"Tobias Lindholm, Michael Noer","Tobias Lindholm, Michael Noer",Pilou Asbæk,14 wins & 8 nominations.
Racing Extinction,,1,JEANNETTE CATSOULIS,Review: ‘Racing Extinction’ Charts the Slaughter of Vital Species,"From the makers of “The Cove,” this documentary centers on the slaughter of creatures for profit without regard for the environmental consequences.",2015-09-17,2015-09-18,2017-11-02 4:18,NA,Documentary,Louie Psihoyos,Mark Monroe,Louie Psihoyos,Nominated for 1 Oscar. Another 4 wins & 7 nominations.
